"tile_id","epsg","utm_zone","ul_x","ul_y"
"32NKF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,100020
"32NKG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,200040
"32NKH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,3e+05
"32NKJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,400020
"32NKK",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,500040
"32NKL",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,6e+05
"32NKM",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,700020
"32NKN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,800040
"32NKP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",199980,9e+05
"32NLF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,100020
"32NLG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,200040
"32NLH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,3e+05
"32NLJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,400020
"32NLK",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,500040
"32NLL",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,6e+05
"32NLM",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,700020
"32NLN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,800040
"32NLP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",3e+05,9e+05
"32NMF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,100020
"32NMG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,200040
"32NMH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,3e+05
"32NMJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,400020
"32NMK",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,500040
"32NML",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,6e+05
"32NMM",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,700020
"32NMN",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,800040
"32NMP",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,9e+05
"32NNF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,100020
"32NNG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,200040
